line_id,expected_status,expected_reason,expected_cash_txn_id,level,severity,notes
L-00001,auto_matched,exact_match,BTX-000001,L1,low,
L-00002,auto_matched,exact_match,BTX-000002,L1,low,
L-00003,auto_matched,exact_match,BTX-000003,L1,low,
L-00004,needs_review,cancellation,BTX-000004,L3,high,
L-00005,auto_matched,exact_match,BTX-000005,L1,low,
L-00006,auto_matched,exact_match,BTX-000006,L1,low,
L-00007,auto_matched,exact_match,BTX-000007,L1,low,
L-00008,needs_review,reinstatement,BTX-000008,L3,medium,
L-00009,auto_matched,exact_match,BTX-000009,L1,low,
L-00010,auto_matched,exact_match,BTX-000010,L1,low,
L-00011,auto_matched,exact_match,BTX-000011,L1,low,
L-00012,needs_review,rate_discrepancy,BTX-000012,L4,high,
L-00013,auto_matched,exact_match,BTX-000013,L1,low,
L-00014,auto_matched,exact_match,BTX-000014,L1,low,
L-00015,auto_matched,exact_match,BTX-000015,L1,low,
L-00016,needs_review,override,BTX-000016,L2,low,
L-00017,auto_matched,exact_match,BTX-000017,L1,low,
L-00018,auto_matched,exact_match,BTX-000018,L1,low,
L-00019,auto_matched,exact_match,BTX-000019,L1,low,
L-00020,needs_review,cancellation,BTX-000020,L3,high,
L-00021,auto_matched,exact_match,BTX-000021,L1,low,
L-00022,auto_matched,exact_match,BTX-000022,L1,low,
L-00023,auto_matched,exact_match,BTX-000023,L1,low,
L-00024,needs_review,policy_typo,BTX-000024,L3,medium,
L-00025,auto_matched,exact_match,BTX-000025,L1,low,
L-00026,auto_matched,exact_match,BTX-000026,L1,low,
L-00027,auto_matched,exact_match,BTX-000027,L1,low,
L-00028,needs_review,name_variation,BTX-000028,L2,medium,
L-00029,auto_matched,exact_match,BTX-000029,L1,low,
L-00030,auto_matched,exact_match,BTX-000030,L1,low,
L-00031,auto_matched,exact_match,BTX-000031,L1,low,
L-00032,needs_review,name_variation,BTX-000032,L2,medium,
L-00033,auto_matched,exact_match,BTX-000033,L1,low,
L-00034,auto_matched,exact_match,BTX-000034,L1,low,
L-00035,auto_matched,exact_match,BTX-000035,L1,low,
L-00036,needs_review,missing_from_bank,,L4,critical,
L-00037,auto_matched,exact_match,BTX-000036,L1,low,
L-00038,auto_matched,exact_match,BTX-000037,L1,low,
L-00039,auto_matched,exact_match,BTX-000038,L1,low,
L-00040,needs_review,missing_from_bank,,L4,critical,
L-00041,auto_matched,exact_match,BTX-000039,L1,low,
L-00042,auto_matched,exact_match,BTX-000040,L1,low,
L-00043,auto_matched,exact_match,BTX-000041,L1,low,
L-00044,needs_review,carrier_name_mismatch,BTX-000042,L4,medium,
L-00045,auto_matched,exact_match,BTX-000043,L1,low,
L-00046,auto_matched,exact_match,BTX-000044,L1,low,
L-00047,auto_matched,exact_match,BTX-000045,L1,low,
L-00048,needs_review,clawback,BTX-000046,L3,high,
L-00049,auto_matched,exact_match,BTX-000047,L1,low,
L-00050,auto_matched,exact_match,BTX-000048,L1,low,
L-00051,auto_matched,exact_match,BTX-000049,L1,low,
L-00052,needs_review,reinstatement,BTX-000050,L3,medium,
L-00053,auto_matched,exact_match,BTX-000051,L1,low,
L-00054,auto_matched,exact_match,BTX-000052,L1,low,
L-00055,auto_matched,exact_match,BTX-000053,L1,low,
L-00056,needs_review,batch_payment,BTX-000315,L4,high,
L-00057,auto_matched,exact_match,BTX-000054,L1,low,
L-00058,auto_matched,exact_match,BTX-000055,L1,low,
L-00059,auto_matched,exact_match,BTX-000056,L1,low,
L-00060,needs_review,missing_from_bank,,L4,critical,
L-00061,auto_matched,exact_match,BTX-000057,L1,low,
L-00062,auto_matched,exact_match,BTX-000058,L1,low,
L-00063,auto_matched,exact_match,BTX-000059,L1,low,
L-00064,needs_review,override,BTX-000060,L2,low,
L-00065,auto_matched,exact_match,BTX-000061,L1,low,
L-00066,auto_matched,exact_match,BTX-000062,L1,low,
L-00067,auto_matched,exact_match,BTX-000063,L1,low,
L-00068,needs_review,timing_mismatch,BTX-000064,L2,low,
L-00069,auto_matched,exact_match,BTX-000065,L1,low,
L-00070,auto_matched,exact_match,BTX-000066,L1,low,
L-00071,auto_matched,exact_match,BTX-000067,L1,low,
L-00072,needs_review,name_variation,BTX-000068,L2,medium,
L-00073,auto_matched,exact_match,BTX-000069,L1,low,
L-00074,auto_matched,exact_match,BTX-000070,L1,low,
L-00075,auto_matched,exact_match,BTX-000071,L1,low,
L-00076,needs_review,name_variation,BTX-000072,L2,medium,
L-00077,auto_matched,exact_match,BTX-000073,L1,low,
L-00078,auto_matched,exact_match,BTX-000074,L1,low,
L-00079,auto_matched,exact_match,BTX-000075,L1,low,
L-00080,needs_review,batch_payment,BTX-000315,L4,high,
L-00081,auto_matched,exact_match,BTX-000076,L1,low,
L-00082,auto_matched,exact_match,BTX-000077,L1,low,
L-00083,auto_matched,exact_match,BTX-000078,L1,low,
L-00084,needs_review,reinstatement,BTX-000079,L3,medium,
L-00085,auto_matched,exact_match,BTX-000080,L1,low,
L-00086,auto_matched,exact_match,BTX-000081,L1,low,
L-00087,auto_matched,exact_match,BTX-000082,L1,low,
L-00088,needs_review,name_variation,BTX-000083,L2,medium,
L-00089,auto_matched,exact_match,BTX-000084,L1,low,
L-00090,auto_matched,exact_match,BTX-000085,L1,low,
L-00091,auto_matched,exact_match,BTX-000086,L1,low,
L-00092,needs_review,partial_payment,,L3,high,
L-00093,auto_matched,exact_match,BTX-000089,L1,low,
L-00094,auto_matched,exact_match,BTX-000090,L1,low,
L-00095,auto_matched,exact_match,BTX-000091,L1,low,
L-00096,needs_review,batch_payment,BTX-000315,L4,high,
L-00097,auto_matched,exact_match,BTX-000092,L1,low,
L-00098,auto_matched,exact_match,BTX-000093,L1,low,
L-00099,auto_matched,exact_match,BTX-000094,L1,low,
L-00100,needs_review,reinstatement,BTX-000095,L3,medium,
L-00101,auto_matched,exact_match,BTX-000096,L1,low,
L-00102,auto_matched,exact_match,BTX-000097,L1,low,
L-00103,auto_matched,exact_match,BTX-000098,L1,low,
L-00104,needs_review,clawback,BTX-000099,L3,high,
L-00105,auto_matched,exact_match,BTX-000100,L1,low,
L-00106,auto_matched,exact_match,BTX-000101,L1,low,
L-00107,auto_matched,exact_match,BTX-000102,L1,low,
L-00108,needs_review,clawback,BTX-000103,L3,high,
L-00109,auto_matched,exact_match,BTX-000104,L1,low,
L-00110,auto_matched,exact_match,BTX-000105,L1,low,
L-00111,auto_matched,exact_match,BTX-000106,L1,low,
L-00112,needs_review,missing_from_bank,,L4,critical,
L-00113,auto_matched,exact_match,BTX-000107,L1,low,
L-00114,auto_matched,exact_match,BTX-000108,L1,low,
L-00115,auto_matched,exact_match,BTX-000109,L1,low,
L-00116,needs_review,endorsement_adj,BTX-000110,L2,medium,
L-00117,auto_matched,exact_match,BTX-000111,L1,low,
L-00118,auto_matched,exact_match,BTX-000112,L1,low,
L-00119,auto_matched,exact_match,BTX-000113,L1,low,
L-00120,needs_review,missing_from_bank,,L4,critical,
L-00121,auto_matched,exact_match,BTX-000114,L1,low,
L-00122,auto_matched,exact_match,BTX-000115,L1,low,
L-00123,auto_matched,exact_match,BTX-000116,L1,low,
L-00124,needs_review,cancellation,BTX-000117,L3,high,
L-00125,auto_matched,exact_match,BTX-000118,L1,low,
L-00126,auto_matched,exact_match,BTX-000119,L1,low,
L-00127,auto_matched,exact_match,BTX-000120,L1,low,
L-00128,needs_review,batch_payment,BTX-000315,L4,high,
L-00129,auto_matched,exact_match,BTX-000121,L1,low,
L-00130,auto_matched,exact_match,BTX-000122,L1,low,
L-00131,auto_matched,exact_match,BTX-000123,L1,low,
L-00132,needs_review,name_variation,BTX-000124,L2,medium,
L-00133,auto_matched,exact_match,BTX-000125,L1,low,
L-00134,auto_matched,exact_match,BTX-000126,L1,low,
L-00135,auto_matched,exact_match,BTX-000127,L1,low,
L-00136,needs_review,timing_mismatch,BTX-000128,L2,low,
L-00137,auto_matched,exact_match,BTX-000129,L1,low,
L-00138,auto_matched,exact_match,BTX-000130,L1,low,
L-00139,auto_matched,exact_match,BTX-000131,L1,low,
L-00140,needs_review,clawback,BTX-000132,L3,high,
L-00141,auto_matched,exact_match,BTX-000133,L1,low,
L-00142,auto_matched,exact_match,BTX-000134,L1,low,
L-00143,auto_matched,exact_match,BTX-000135,L1,low,
L-00144,needs_review,endorsement_adj,BTX-000136,L2,medium,
L-00145,auto_matched,exact_match,BTX-000137,L1,low,
L-00146,auto_matched,exact_match,BTX-000138,L1,low,
L-00147,auto_matched,exact_match,BTX-000139,L1,low,
L-00148,needs_review,rate_discrepancy,BTX-000140,L4,high,
L-00149,auto_matched,exact_match,BTX-000141,L1,low,
L-00150,auto_matched,exact_match,BTX-000142,L1,low,
L-00151,auto_matched,exact_match,BTX-000143,L1,low,
L-00152,needs_review,carrier_name_mismatch,BTX-000144,L4,medium,
L-00153,auto_matched,exact_match,BTX-000145,L1,low,
L-00154,auto_matched,exact_match,BTX-000146,L1,low,
L-00155,auto_matched,exact_match,BTX-000147,L1,low,
L-00156,needs_review,endorsement_adj,BTX-000148,L2,medium,
L-00157,auto_matched,exact_match,BTX-000149,L1,low,
L-00158,auto_matched,exact_match,BTX-000150,L1,low,
L-00159,auto_matched,exact_match,BTX-000151,L1,low,
L-00160,needs_review,partial_payment,,L3,high,
L-00161,auto_matched,exact_match,BTX-000154,L1,low,
L-00162,auto_matched,exact_match,BTX-000155,L1,low,
L-00163,auto_matched,exact_match,BTX-000156,L1,low,
L-00164,needs_review,timing_mismatch,BTX-000157,L2,low,
L-00165,auto_matched,exact_match,BTX-000158,L1,low,
L-00166,auto_matched,exact_match,BTX-000159,L1,low,
L-00167,auto_matched,exact_match,BTX-000160,L1,low,
L-00168,needs_review,clawback,BTX-000161,L3,high,
L-00169,auto_matched,exact_match,BTX-000162,L1,low,
L-00170,auto_matched,exact_match,BTX-000163,L1,low,
L-00171,auto_matched,exact_match,BTX-000164,L1,low,
L-00172,needs_review,batch_payment,BTX-000315,L4,high,
L-00173,auto_matched,exact_match,BTX-000165,L1,low,
L-00174,auto_matched,exact_match,BTX-000166,L1,low,
L-00175,auto_matched,exact_match,BTX-000167,L1,low,
L-00176,needs_review,cancellation,BTX-000168,L3,high,
L-00177,auto_matched,exact_match,BTX-000169,L1,low,
L-00178,auto_matched,exact_match,BTX-000170,L1,low,
L-00179,auto_matched,exact_match,BTX-000171,L1,low,
L-00180,needs_review,timing_mismatch,BTX-000172,L2,low,
L-00181,auto_matched,exact_match,BTX-000173,L1,low,
L-00182,auto_matched,exact_match,BTX-000174,L1,low,
L-00183,auto_matched,exact_match,BTX-000175,L1,low,
L-00184,needs_review,rate_discrepancy,BTX-000176,L4,high,
L-00185,auto_matched,exact_match,BTX-000177,L1,low,
L-00186,auto_matched,exact_match,BTX-000178,L1,low,
L-00187,auto_matched,exact_match,BTX-000179,L1,low,
L-00188,needs_review,carrier_name_mismatch,BTX-000180,L4,medium,
L-00189,auto_matched,exact_match,BTX-000181,L1,low,
L-00190,auto_matched,exact_match,BTX-000182,L1,low,
L-00191,auto_matched,exact_match,BTX-000183,L1,low,
L-00192,needs_review,cancellation,BTX-000184,L3,high,
L-00193,auto_matched,exact_match,BTX-000185,L1,low,
L-00194,auto_matched,exact_match,BTX-000186,L1,low,
L-00195,auto_matched,exact_match,BTX-000187,L1,low,
L-00196,needs_review,name_variation,BTX-000188,L2,medium,
L-00197,auto_matched,exact_match,BTX-000189,L1,low,
L-00198,auto_matched,exact_match,BTX-000190,L1,low,
L-00199,auto_matched,exact_match,BTX-000191,L1,low,
L-00200,needs_review,clawback,BTX-000192,L3,high,
L-00201,auto_matched,exact_match,BTX-000193,L1,low,
L-00202,auto_matched,exact_match,BTX-000194,L1,low,
L-00203,auto_matched,exact_match,BTX-000195,L1,low,
L-00204,needs_review,rate_discrepancy,BTX-000196,L4,high,
L-00205,auto_matched,exact_match,BTX-000197,L1,low,
L-00206,auto_matched,exact_match,BTX-000198,L1,low,
L-00207,auto_matched,exact_match,BTX-000199,L1,low,
L-00208,needs_review,override,BTX-000200,L2,low,
L-00209,auto_matched,exact_match,BTX-000201,L1,low,
L-00210,auto_matched,exact_match,BTX-000202,L1,low,
L-00211,auto_matched,exact_match,BTX-000203,L1,low,
L-00212,needs_review,policy_typo,BTX-000204,L3,medium,
L-00213,auto_matched,exact_match,BTX-000205,L1,low,
L-00214,auto_matched,exact_match,BTX-000206,L1,low,
L-00215,auto_matched,exact_match,BTX-000207,L1,low,
L-00216,needs_review,endorsement_adj,BTX-000208,L2,medium,
L-00217,auto_matched,exact_match,BTX-000209,L1,low,
L-00218,auto_matched,exact_match,BTX-000210,L1,low,
L-00219,auto_matched,exact_match,BTX-000211,L1,low,
L-00220,needs_review,name_variation,BTX-000212,L2,medium,
L-00221,auto_matched,exact_match,BTX-000213,L1,low,
L-00222,auto_matched,exact_match,BTX-000214,L1,low,
L-00223,auto_matched,exact_match,BTX-000215,L1,low,
L-00224,needs_review,name_variation,BTX-000216,L2,medium,
L-00225,auto_matched,exact_match,BTX-000217,L1,low,
L-00226,auto_matched,exact_match,BTX-000218,L1,low,
L-00227,auto_matched,exact_match,BTX-000219,L1,low,
L-00228,needs_review,timing_mismatch,BTX-000220,L2,low,
L-00229,auto_matched,exact_match,BTX-000221,L1,low,
L-00230,auto_matched,exact_match,BTX-000222,L1,low,
L-00231,auto_matched,exact_match,BTX-000223,L1,low,
L-00232,needs_review,timing_mismatch,BTX-000224,L2,low,
